Variável,Tradução,Descrição,Espectro de opções,Tipo,Subtipo
Size (cm),Tamanho,Diâmetro da laranja em centímetros,(6.0 -- 10.0),Quantitativo,Contínua
Weight (g),Peso,Peso da laranja em gramas,(100.0 -- 300.0),Quantitativo,Contínua
Brix (Sweetness),Doçura,Nível de açúcar da laranja,(5.5 -- 16.0),Quantitativo,Contínua
pH (Acidity),Acidez,Nível de acidez da laranja,(2.8 -- 4.4),Quantitativo,Contínua
Softness,Maciez,Nível de maciez da laranja em uma escala de 1 a 5,(1-5),Quantitativo,Discreto
HarvestTime (days),Tempo de colheita,Número de dias desde o plantio até a colheita,(4 -- 25),Quantitativo,Discreto
Ripeness,Maturação,Nível de maturação da laranja em uma escala de...,(1-5),Quantitativo,Discreto
Color,Cor,Cor da casca da laranja,"Orange, Deep Orange, Light Orange, Orange-Red, Yellow-Orange",Qualitativo,Nominal
Blemishes,Manchas,Presença de manchas na laranja,(Y/N),Qualitativo,Nominal
Quality,Qualidade,Qualidade geral da laranja ,(1-5),Quantitativo,Discreto
Variety,Variedade,Variedade da laranja,"Valencia, Navel, Cara Cara, Blood Orange, Hamlin, Tangelo (Hybrid), Murcott (Hybrid), Moro (Blood), Jaffa, Clementine, Washington Navel, Star Ruby, Tangerine, Ambiance, California Valencia, Honey Tangerine, Navel (Late Season), Clementine (Seedless), Temple, Minneola (Hybrid), Satsuma Mandarin, Midsweet (Hybrid), Navel (Early Season), Ortanique (Hybrid)",Qualitativo,Nominal
